Species num,species,treatment,trial,primary,pennulae,barbs frayed,bg noise (dB),bg noise (Pa),avg power (Pa),average power (dB),diff sum of squares (Pa),dB corrected (dB),SPL partial (dB),,,How each column is calculated:,,notes
16,AMKE,2,2,0,2,0,59.5,0.018881218,0.106176889,74.5,0.104484599,74.36044567,33.36044567,,,,,
16,AMKE,3,2,1,2,0,59.4,0.018665086,0.106176889,74.5,0.104523425,74.36367271,33.36367271,,,,,
16,AMKE,1,2,1,2,0,59.3,0.018451429,0.107406359,74.6,0.105809597,74.46990126,33.46990126,,,,,
16,AMKE,1,2,0,2,0,59.1,0.018031423,0.108650066,74.7,0.107143383,74.57870722,33.57870722,,,,,
16,AMKE,1,3,0,2,0,59.1,0.018031423,0.109908175,74.8,0.108418978,74.68150624,33.68150624,,,,,
16,AMKE,3,3,1,2,0,59.3,0.018451429,0.111180851,74.9,0.109639073,74.77870721,33.77870721,,,,,
16,AMKE,3,3,1,2,0,59.4,0.018665086,0.112468265,75,0.110908634,74.87870725,33.87870725,,,,,
16,AMKE,1,1,1,2,0,59.2,0.018240217,0.112468265,75,0.1109793,74.88423974,33.88423974,,,,,
16,AMKE,1,1,0,2,0,59.1,0.018031423,0.115087987,75.2,0.113666673,75.09206305,34.09206305,,,,,
16,AMKE,2,1,0,2,0,60,0.02,0.117768731,75.4,0.116058063,75.27290645,34.27290645,,,,,
16,AMKE,3,3,1,2,0,59.6,0.019099852,0.120511917,75.6,0.11898873,75.48951665,34.48951665,,,,,
16,AMKE,2,2,0,2,0,59.8,0.019544744,0.121907379,75.7,0.120330429,75.58690936,34.58690936,,,,,
16,AMKE,2,3,0,2,0,60,0.02,0.124746967,75.9,0.123133285,75.78690938,34.78690938,,,,,
16,AMKE,1,2,0,2,0,59.1,0.018031423,0.123319,75.8,0.121993621,75.70614252,34.70614252,,,,,
16,AMKE,3,1,1,2,0,59.3,0.018451429,0.124746967,75.9,0.123374838,75.80393196,34.80393196,,,,,
16,AMKE,2,1,0,2,0,59.5,0.018881218,0.135216595,76.6,0.133891849,76.51448285,35.51448285,,,,,
16,AMKE,2,2,0,2,0,60,0.02,0.143228682,77.1,0.14182544,77.01448286,36.01448286,,,,,
16,AMKE,3,2,1,2,0,59.6,0.019099852,0.146564907,77.3,0.145315063,77.22561279,36.22561279,,,,,
16,AMKE,2,3,0,2,0,59.5,0.018881218,0.158865647,78,0.157739638,77.93821688,36.93821688,,,,,
16,AMKE,2,2,1,2,0,59.7,0.019321018,0.160705224,78.1,0.159539548,78.03676722,37.03676722,,,,,
16,AMKE,1,1,0,2,0,59,0.017825019,0.162566103,78.2,0.161585911,78.14746989,37.14746989,,,,,
16,AMKE,3,1,1,2,0,59.5,0.018881218,0.16444853,78.3,0.163361007,78.24236813,37.24236813,,,,,
16,AMKE,1,2,1,2,0,59.5,0.018881218,0.168279028,78.5,0.167216419,78.44497847,37.44497847,,,,,
16,AMKE,2,3,1,2,0,59.7,0.019321018,0.180314228,79.1,0.179276097,79.04984788,38.04984788,,,,,
16,AMKE,2,2,1,2,0,59.5,0.018881218,0.204658598,80.2,0.203785773,80.16287732,39.16287732,,,,,
16,AMKE,2,3,1,2,0,59.5,0.018881218,0.229630724,81.2,0.22885316,81.17053837,40.17053837,,,,,
16,AMKE,2,2,1,2,0,60.1,0.020231589,0.234979511,81.4,0.234106927,81.36768538,40.36768538,,,,,
16,AMKE,2,1,1,2,0,59.7,0.019321018,0.246053754,81.8,0.245294003,81.77313871,40.77313871,,,,,
16,AMKE,2,3,1,2,0,60.1,0.020231589,0.282507509,83,0.281782142,82.9776694,41.9776694,,,,,
16,AMKE,2,1,1,2,0,60.1,0.020231589,0.292435435,83.3,0.291734754,83.27916346,42.27916346,,,,,
